(10001, 1021, 1999, 366)
(1001, 1221, 2339, 1960)
(10001, 821, 2467, 150)
(10001, 1021, 2617, 1033)
(101, 221, 2897, 1557)
(1001, 21, 1103, 443)
(1001, 821, 1277, 666)
(10001, 621, 1447, 279)
(10001, 221, 1523, 172)
(101, 21, 1609, 188)
(10001, 821, 1697, 1525)
(10001, 421, 1787, 1060)
(10001, 821, 1889, 1760)
(1001, 821, 2039, 378)
(1001, 421, 2143, 1901)
(101, 1221, 2333, 1448)
(1001, 1021, 2411, 2104)
(101, 1021, 2543, 1993)
(1001, 821, 2659, 2555)
(10001, 621, 2729, 1916)
(101, 421, 2897, 1761)
(1001, 221, 1103, 647)
(1001, 1021, 1277, 870)
(10001, 821, 1447, 483)
(10001, 421, 1523, 376)
(101, 221, 1609, 392)
(10001, 1021, 1697, 32)
(10001, 421, 1873, 1456)
(1001, 1021, 2039, 582)
(1001, 621, 2143, 2105)
(101, 21, 2333, 1652)
(10001, 1221, 2467, 558)
(10001, 21, 2617, 1441)
(10001, 1021, 2693, 625)
(1001, 421, 1103, 851)
(1001, 1221, 1277, 1074)
(1001, 621, 1481, 961)
(10001, 1221, 1549, 659)
(10001, 821, 1619, 192)
(1001, 221, 1709, 1459)
(10001, 221, 1999, 978)
(1001, 821, 2143, 166)
(1001, 421, 2339, 233)
(1001, 21, 2411, 101)
(101, 21, 2543, 2401)
(1001, 1221, 2659, 304)
(10001, 1021, 2729, 2324)
(10001, 1221, 2909, 1653)
(101, 221, 1171, 1158)
(1001, 21, 1277, 1)
(10001, 1221, 1447, 891)
(10001, 221, 1493, 468)
(101, 621, 1609, 800)
(10001, 21, 1697, 440)
(10001, 1021, 1787, 1672)
(101, 21, 1993, 585)
(1001, 1021, 2143, 370)
(1001, 621, 2339, 437)
(1001, 221, 2411, 305)
(1001, 21, 2659, 508)
(10001, 1221, 2729, 2528)
(101, 1021, 2897, 2373)
(1001, 821, 1103, 156)
(1001, 221, 1277, 205)
(10001, 21, 1447, 1095)
(1001, 821, 1511, 58)
(101, 821, 1609, 1004)
(10001, 221, 1697, 644)
(10001, 1221, 1787, 89)
(101, 221, 1993, 789)
(1001, 1221, 2143, 574)
(101, 621, 2333, 2264)
(1001, 421, 2411, 509)
(101, 421, 2543, 266)
(1001, 1021, 2633, 49)
(10001, 21, 2729, 3)
(101, 1221, 2897, 2577)
(1001, 1021, 1103, 360)
(1001, 421, 1277, 409)
(10001, 221, 1447, 1299)
(1001, 1021, 1511, 262)
(101, 1021, 1609, 1208)
(10001, 421, 1697, 848)
(10001, 21, 1787, 293)
(101, 421, 1993, 993)
(10001, 1221, 2089, 2017)
(1001, 621, 2411, 713)
(101, 621, 2543, 470)
(1001, 421, 2659, 916)
(10001, 821, 2789, 1555)
(10001, 421, 2909, 2265)
(10001, 821, 1493, 1080)
(101, 1221, 1609, 1412)
(10001, 621, 1697, 1052)
(10001, 221, 1787, 497)
